LAT;LON;SPEED;ACCURACY;ALTITUDE;HEADING;TIME;ACTIVITY
59.66462369;10.78022691;1.53999996185;3.0;140.0;117.800003052;1486135677.15;gar
59.66460173;10.78029263;1.57000005245;3.0;140.0;126.5;1486135680.21;gar
59.66457663;10.78037707;1.48000001907;3.0;140.0;124.699996948;1486135685.25;gar
59.66455381;10.78044616;1.46000003815;3.0;140.0;116.099998474;1486135687.19;gar
59.66453108;10.78052067;1.55999994278;3.0;140.0;120.199996948;1486135690.17;gar
59.6645098;10.78059209;1.50999999046;3.0;140.0;122.400001526;1486135693.8;gar
59.66449039;10.78066212;1.53999996185;3.0;140.0;114.599998474;1486135698.31;gar
59.66447031;10.78073212;01.mai;3.0;139.0;111.900001526;1486135699.7;gar
59.66444987;10.78081043;1.49000000954;3.0;140.0;120.0;1486135702.42;gar
59.6644239;10.78089084;1.69000005722;3.0;139.0;124.099998474;1486135705.19;gar
59.66440913;10.78096114;jan.25;3.0;138.0;111.0;1486135708.3;gar
59.66438559;10.78104228;1.49000000954;3.0;138.0;122.900001526;1486135714.37;gar
59.66436862;10.78111655;1.37999999523;3.0;138.0;109.199996948;1486135714.41;gar
59.66427106;10.78158836;1.42999994755;4.0;137.0;98.8000030518;1486135732.33;gar
59.66426345;10.78167906;1.48000001907;4.0;136.0;101.400001526;1486135735.11;gar
59.66424858;10.78175506;1.41999995708;3.0;137.0;97.9000015259;1486135738.14;gar
59.66423836;10.78184066;1.40999996662;3.0;137.0;93.8000030518;1486135741.15;gar
59.66422229;10.78191944;1.46000003815;3.0;137.0;99.0;1486135744.12;gar
59.66421245;10.7820015;1.59000003338;3.0;137.0;98.9000015259;1486135747.45;gar
59.66421295;10.78207775;1.52999997139;3.0;138.0;89.5;1486135750.21;gar
59.66421282;10.78216027;1.53999996185;3.0;138.0;94.5999984741;1486135753.17;gar
59.66421097;10.78224455;1.53999996185;3.0;138.0;91.0;1486135756.23;gar
59.66421028;10.78233004;1.55999994278;3.0;138.0;88.5999984741;1486135759.18;gar
59.66421367;10.7824127;1.54999995232;3.0;138.0;88.6999969482;1486135762.18;gar
59.66421191;10.78249662;1.61000001431;3.0;138.0;87.4000015259;1486135765.24;gar
59.66421644;10.78258145;1.54999995232;3.0;139.0;88.0;1486135768.21;gar
