bla 59.66418593 10.77668876 1.47000002861 4.0 138.0 149.300003052 1486222869.32 ute gar 
bla 59.66415753 10.7767367 1.09000003338 4.0 140.0 169.0 1486222872.83 ute gar 
bla 59.66385663 10.77648845 1.14999997616 4.0 139.0 203.899993896 1486222900.12 ute gar 
bla 59.66389072 10.7765298 0.889999985695 3.0 143.0 27.3999996185 1486222938.23 ute gar 
bla 59.66392793 10.77658445 1.10000002384 3.0 144.0 17.7999992371 1486222943.12 ute gar 
bla 59.6639643 10.77663917 1.37999999523 3.0 144.0 29.2999992371 1486222946.24 ute gar 
bla 59.66399865 10.77666784 1.02999997139 3.0 147.0 9.80000019073 1486222950.14 ute gar 
bla 59.66403314 10.77670976 1.32000005245 4.0 147.0 12.5 1486222953.18 ute gar 
bla 59.66407869 10.7767471 1.37999999523 4.0 146.0 35.4000015259 1486222956.21 ute gar 
bla 59.66412867 10.77675824 1.85000002384 4.0 148.0 2.70000004768 1486222959.16 ute gar 
bla 59.66416605 10.7767639 1.86000001431 4.0 149.0 1.0 1486222961.09 ute gar 
bla 59.66419757 10.77670275 1.25999999046 4.0 149.0 338.100006104 1486222965.11 ute gar 
bla 59.66423704 10.77668499 0.899999976158 4.0 149.0 310.5 1486222968.25 ute gar 
bla 59.66427176 10.77664944 1.02999997139 3.0 149.0 349.399993896 1486222971.14 ute gar 
bla 59.66431387 10.77661917 1.41999995708 4.0 151.0 337.5 1486222975.11 ute gar 
bla 59.66435142 10.77658715 1.39999997616 4.0 154.0 336.200012207 1486222978.13 ute gar 
bla 59.66440565 10.77656653 1.67999994755 4.0 154.0 333.799987793 1486222982.12 ute gar 
bla 59.66444968 10.77653896 1.46000003815 4.0 153.0 341.200012207 1486222985.16 ute gar 
bla 59.66449912 10.77652954 1.42999994755 3.0 151.0 345.700012207 1486222989.16 ute gar 
bla 59.66453505 10.77649995 1.50999999046 3.0 150.0 340.799987793 1486222992.25 ute gar 
bla 59.66456957 10.77646112 1.45000004768 3.0 150.0 340.299987793 1486222995.23 ute gar 
bla 59.66460973 10.77643949 1.63999998569 3.0 150.0 341.600006104 1486222998.14 ute gar 
bla 59.66465286 10.77642466 1.51999998093 3.0 151.0 338.200012207 1486223003.57 ute gar 
bla 59.66469078 10.776398 1.36000001431 3.0 148.0 344.899993896 1486223005.21 ute gar 
bla 59.66472796 10.77634845 1.38999998569 4.0 146.0 325.100006104 1486223024.18 ute gar 
bla 59.66476271 10.77629141 1.08000004292 3.0 146.0 313.5 1486223024.63 ute gar 
bla 59.66479705 10.77626566 1.44000005722 3.0 147.0 324.299987793 1486223024.91 ute gar 
bla 59.66482425 10.77619424 1.38999998569 4.0 147.0 304.600006104 1486223025.27 ute gar 
bla 59.66484841 10.776118 1.62000000477 3.0 145.0 308.600006104 1486223025.64 ute gar 
bla 59.66485673 10.77604525 1.37999999523 3.0 142.0 281.700012207 1486223025.97 ute gar 
bla 59.66486349 10.77597256 1.29999995232 3.0 143.0 285.5 1486223026.2 ute gar 
bla 59.66487395 10.77589293 0.97000002861 3.0 144.0 284.100006104 1486223030.15 ute gar 
bla 59.66490564 10.7759479 1.16999995708 3.0 145.0 35.7000007629 1486223060.2 ute gar 
bla 59.66493551 10.7759953 0.959999978542 4.0 139.0 15.0 1486223064.18 ute gar 
bla 59.66497455 10.77599838 1.19000005722 3.0 142.0 353.799987793 1486223069.74 ute gar 
bla 59.66501042 10.77600619 1.37999999523 4.0 143.0 9.39999961853 1486223070.2 ute gar 
bla 59.66505177 10.77601057 1.41999995708 4.0 144.0 356.899993896 1486223073.28 ute gar 
bla 59.6650886 10.77603333 0.600000023842 4.0 147.0 10.6999998093 1486223077.2 ute gar 
bla 59.66512823 10.77605417 0.980000019073 4.0 146.0 14.1999998093 1486223080.25 ute gar 
bla 59.66516089 10.77608508 0.689999997616 3.0 147.0 358.200012207 1486223087.35 ute gar 
bla 59.66519486 10.7760526 0.0 7.0 149.0 0.0 1486223140.19 inne gar 
bla 59.66523327 10.77608266 0.0 7.0 148.0 0.0 1486223146.2 inne gar 
bla 59.6652646 10.77604342 0.0 7.0 148.0 0.0 1486223148.2 inne gar 
bla 59.66529834 10.77597165 0.0 9.0 145.0 0.0 1486223151.24 inne gar 
bla 59.66523415 10.77602847 1.74000000954 9.0 143.0 178.899993896 1486223290.17 inne gar 
bla 59.66519262 10.7760603 1.01999998093 5.0 142.0 180.5 1486223293.15 inne gar 
bla 59.66515683 10.77609468 0.589999973774 3.0 144.0 165.199996948 1486223296.12 ute gar 
bla 59.66511893 10.77610917 1.24000000954 4.0 143.0 168.800003052 1486223299.16 ute gar 
bla 59.66510484 10.77617649 1.29999995232 3.0 143.0 105.099998474 1486223302.19 ute gar 
bla 59.66510383 10.77625652 1.45000004768 4.0 143.0 92.0999984741 1486223305.26 ute gar 
bla 59.66510883 10.77634043 1.38999998569 4.0 144.0 94.0 1486223309.2 ute gar 
bla 59.66510463 10.77642486 1.54999995232 3.0 145.0 93.5 1486223312.29 ute gar 
bla 59.6651062 10.77650021 1.40999996662 4.0 147.0 87.6999969482 1486223315.16 ute gar 
bla 59.66510953 10.77657136 1.54999995232 3.0 150.0 88.6999969482 1486223317.19 ute gar 
bla 59.66510683 10.7766526 0.0 4.0 153.0 0.0 1486223321.22 ute gar 
bla 59.66510621 10.7767384 1.27999997139 4.0 154.0 92.5 1486223324.14 ute gar 
bla 59.66509341 10.77681226 1.5 4.0 153.0 90.4000015259 1486223328.19 ute gar 
bla 59.66509941 10.77689687 1.14999997616 5.0 153.0 79.9000015259 1486223332.17 ute gar 
bla 59.66510648 10.77697329 1.47000002861 5.0 153.0 93.0 1486223335.18 ute gar 
bla 59.66510978 10.77705534 1.40999996662 5.0 152.0 72.5 1486223338.14 ute gar 
bla 59.66510975 10.77713589 1.38999998569 4.0 152.0 85.4000015259 1486223341.22 ute gar 
bla 59.66510682 10.77721193 1.49000000954 4.0 153.0 100.5 1486223344.21 ute gar 
bla 59.66510257 10.77728956 1.25999999046 3.0 151.0 99.8000030518 1486223347.22 ute gar 
bla 59.66509294 10.77736171 1.37999999523 4.0 151.0 94.5 1486223350.16 ute gar 
bla 59.66509231 10.77743717 1.37000000477 4.0 150.0 90.5999984741 1486223353.27 ute gar 
bla 59.66510008 10.77751422 1.37999999523 4.0 150.0 87.5 1486223356.17 ute gar 
bla 59.66508712 10.77765612 1.59000003338 4.0 151.0 92.6999969482 1486223359.23 ute gar 
bla 59.6650884 10.77772916 1.37000000477 4.0 154.0 91.6999969482 1486223362.17 ute gar 
bla 59.66509056 10.77780958 1.38999998569 3.0 153.0 90.9000015259 1486223365.14 ute gar 
bla 59.66509199 10.77790312 1.17999994755 3.0 157.0 85.0 1486223368.16 ute gar 
bla 59.66509303 10.77799749 1.41999995708 3.0 159.0 94.8000030518 1486223371.24 ute gar 
bla 59.6650902 10.77808348 1.64999997616 4.0 161.0 98.5999984741 1486223374.28 ute gar 
bla 59.6650867 10.77817783 1.39999997616 4.0 161.0 106.099998474 1486223378.15 ute gar 
bla 59.66507516 10.77826781 1.73000001907 4.0 160.0 100.0 1486223381.16 ute gar 
bla 59.66508061 10.77834915 1.42999994755 3.0 156.0 98.4000015259 1486223386.23 ute gar 
bla 59.66507786 10.77842635 1.48000001907 3.0 155.0 94.0 1486223389.27 ute gar 
bla 59.66506391 10.7785013 1.54999995232 3.0 159.0 103.400001526 1486223392.23 ute gar 
