ID X Y Z XYZ Time Activity
bla 0.0 0.0 0.0 -9.81 1486403345.96 Unknown 
bla -1.04387199879 6.11419248581 7.4693107605 -0.101054550556 1486403346.11 Unknown 
bla 0.756567716599 6.78456926346 7.29214000702 0.178897871258 1486403346.46 Unknown 
bla 0.617704033852 6.79893445969 7.44058036804 0.287985159121 1486403346.77 Unknown 
bla 0.7230489254 6.74147319794 7.63211631775 0.398793274167 1486403347.19 Unknown 
bla 0.636857628822 6.71274280548 6.91385602951 -0.152468803637 1486403347.41 Unknown 
bla 1.58496153355 6.09982728958 7.34002399445 -0.135500102611 1486403347.67 Unknown 
bla -0.761356115341 7.07187318802 8.6616230011 1.39779936183 1486403348.01 Unknown 
bla 0.63206923008 6.85160684586 7.18679475784 0.139575205663 1486403348.27 Unknown 
bla 0.39264908433 6.90427923203 7.11018037796 0.108563909374 1486403348.61 Unknown 
bla 0.31603461504 6.98568201065 6.91864442825 0.0270357199936 1486403348.93 Unknown 
bla 0.555454790592 7.00004720688 8.02955436707 0.856908373872 1486403349.25 Unknown 
bla 0.670376479626 6.73189640045 7.4693107605 0.267620602491 1486403349.48 Unknown 
bla 0.670376479626 6.73189640045 7.4693107605 0.267620602491 1486403349.69 tog 
bla 0.80445176363 6.68401241302 7.54113674164 0.299001332158 1486403349.77 tog 
bla 0.311246216297 6.40149688721 7.17721796036 -0.187708471754 1486403350.16 tog 
bla 0.593762040138 6.90427923203 7.44536876678 0.361290043426 1486403350.39 tog 
bla 0.0383072271943 6.86597204208 6.73189640045 -0.194311326132 1486403350.69 tog 
bla -0.186747729778 6.29615211487 7.90984392166 0.301480457044 1486403351.01 tog 
bla -0.186747729778 6.29615211487 7.90984392166 0.301480457044 1486403351.09 tog 
bla -0.0335188247263 6.32488250732 7.70873069763 0.161448802039 1486403351.31 tog 
bla -0.239420175552 6.26742172241 8.17799472809 0.496187211557 1486403351.67 tog 
bla -0.172382518649 6.26263332367 7.85717153549 0.239151029695 1486403351.97 tog 
bla -0.277727395296 6.73189640045 7.93857431412 0.602325570845 1486403352.23 tog 
bla -0.0766144543886 6.51163005829 7.81886434555 0.365550866894 1486403352.53 tog 
bla -0.00957680679858 6.47332286835 7.51719474792 0.110293219019 1486403352.85 tog 
bla -0.25378537178 6.37755489349 7.88590192795 0.335198995173 1486403353.17 tog 
bla -0.167594119906 6.44938087463 7.84759473801 0.349101565941 1486403353.43 tog 
bla -0.25378537178 6.39192008972 7.68957710266 0.192531952765 1486403353.74 tog 
bla -0.325611442327 6.32488250732 7.85717153549 0.281843542236 1486403354.05 tog 
bla -0.0670376494527 6.33445930481 7.79492235184 0.234435434702 1486403354.37 tog 
bla -0.201112940907 6.33445930481 7.99124670029 0.389306100129 1486403354.63 tog 
bla -0.134075298905 6.31530570984 7.73746156693 0.178462038479 1486403354.93 tog 
bla -0.172382518649 6.40149688721 7.85717153549 0.326272622015 1486403355.26 tog 
bla -0.215478152037 6.33924770355 7.99124670029 0.392573994137 1486403355.53 tog 
bla -0.272938996553 6.32009410858 7.62732791901 0.099299491953 1486403355.87 tog 
bla -0.4118026793 6.36318969727 7.84759473801 0.301602629754 1486403356.21 tog 
bla -0.292092621326 6.37276649475 8.10138034821 0.501635876152 1486403356.47 tog 
bla -0.153228908777 6.47811126709 7.96251630783 0.456015324348 1486403356.77 tog 
bla -0.143652096391 6.58824443817 7.70394229889 0.327866030211 1486403357.11 tog 
bla -0.177170932293 6.64091682434 7.42621517181 0.154027177058 1486403357.41 tog 
bla -0.172382518649 6.8228764534 7.3687543869 0.233898647715 1486403357.66 tog 
bla -0.407014280558 6.87554883957 7.61775112152 0.459808402269 1486403357.97 tog 
bla -0.39264908433 6.82766485214 7.58423233032 0.402333752718 1486403358.29 tog 
bla -0.292092621326 6.90906763077 7.36396598816 0.291907181356 1486403358.61 tog 
bla -0.234631761909 6.94258642197 7.28735160828 0.257772929145 1486403358.93 tog 
bla -0.177170932293 6.97610521317 7.28735160828 0.279743651206 1486403359.25 tog 
bla -0.287304192781 6.90427923203 7.23467922211 0.194608880898 1486403359.54 tog 
bla -0.15801730752 7.00962400436 7.45494556427 0.42406134036 1486403359.82 tog 
bla -0.301669418812 6.98568201065 7.32087039948 0.313532041639 1486403360.13 tog 
bla -0.11013327539 6.89949083328 7.20594835281 0.16701331864 1486403360.39 tog 
bla -0.335188239813 6.95216321945 7.23946762085 0.23264985048 1486403360.67 tog 
bla -0.258573770523 7.00483560562 7.40706157684 0.387997031757 1486403361.17 tog 
bla -0.167594119906 6.96652841568 7.3017168045 0.283348019794 1486403361.51 tog 
bla -0.402225881815 6.95216321945 7.44058036804 0.381005608044 1486403361.83 tog 
bla -0.0718260481954 7.02398920059 7.3352355957 0.346144175606 1486403361.98 tog 
