ID   X             Y             Z              XYZ            Time          Activity
bla 9.73961257935 -0.0772130042315 0.396838933229 -0.0620004009695 1486381581.35 kalibrering x 
bla 9.75397777557 -0.0341173745692 0.535702645779 -0.0412629390321 1486381581.6 kalibrering x 
bla 9.72045898438 -0.0724245980382 0.396838933229 -0.0811743088775 1486381581.93 kalibrering x 
bla 9.71567058563 -0.0724245980382 0.368108510971 -0.0870887010746 1486381582.23 kalibrering x 
bla 9.81143856049 -0.10594342649 0.190937578678 0.00386813620177 1486381582.57 kalibrering x 
bla 9.63905620575 0.0329202748835 0.382473707199 -0.163302408658 1486381582.81 kalibrering x 
bla 9.83059215546 -0.014963760972 0.468664973974 0.0317687891403 1486381583.12 kalibrering x 
bla 9.801861763 -0.0772130042315 0.368108510971 -0.000924623347885 1486381583.44 kalibrering x 
bla 9.801861763 -0.014963760972 0.377685308456 -0.000853037733746 1486381583.75 kalibrering x 
bla 9.68694019318 -0.0484825856984 0.420780956745 -0.113803968522 1486381584.09 kalibrering x 
bla 9.69172859192 -0.115520231426 0.43035775423 -0.108033404515 1486381584.35 kalibrering x 
bla 9.70609378815 -0.0484825856984 0.468664973974 -0.092476959469 1486381584.72 kalibrering x 
bla 9.7013053894 -0.0628477931023 0.415992558002 -0.0995764298412 1486381584.97 kalibrering x 
bla 9.74440097809 -0.101155020297 0.267552047968 -0.0614018003473 1486381585.32 kalibrering x 
bla 9.68215179443 -0.0389057770371 0.420780956745 -0.118630971658 1486381585.56 kalibrering x 
bla 9.75876617432 -0.129885435104 0.363320112228 -0.0436092144957 1486381585.88 kalibrering x 
bla 9.81622695923 0.0664390996099 0.468664973974 0.0176331192649 1486381586.21 kalibrering x 
bla 9.77313137054 0.00418985309079 0.339378088713 -0.0309769492098 1486381586.47 kalibrering x 
bla 9.82580375671 -0.000598550424911 0.291494071484 0.0201265819635 1486381586.8 kalibrering x 
